match_id,date,player1,player2,h2h_L10_weighted,h2h_L30_weighted,h2h_L60_weighted,h2h_L10_count,h2h_L30_count,h2h_L60_count,recent_A_L10,recent_B_L10,recent_A_L30,recent_B_L30,match_balance_L10
11620459,2026-03-21 10:30:00,Miroslav Barta,Jiri Grohsgott,0.4,0.68,0.68,10,25,25,0.6,0.5,0.6333333333333333,0.5333333333333333,0.29999999999999993
11620583,2026-03-21 10:30:00,Frantisek Just,Hoang Tai Nguyen Ba,0.8273333333333333,0.8273333333333333,0.8273333333333333,3,3,3,0.7,0.9,0.6333333333333333,0.7333333333333333,0.7000000000000001
11622386,2026-03-21 10:30:00,Michael Sedlacek,Ondrej Paril,0.6,0.6333333333333333,0.6666666666666666,10,30,54,0.5,0.8,0.5666666666666667,0.6666666666666666,0.5000000000000001
11622395,2026-03-21 11:00:00,Adam Pokorny,Michael Sedlacek,0.765,0.765,0.765,9,9,9,0.8,0.5,0.7333333333333333,0.5666666666666667,0.6000000000000001
11622388,2026-03-21 11:00:00,Michal Hrabec,Lukas Velebil,0.8300000000000001,0.8300000000000001,0.8300000000000001,4,4,4,0.8,0.6,0.7333333333333333,0.75,0.4
11622387,2026-03-21 11:00:00,Matej Volf,Frantisek Just,0.742,0.742,0.742,8,8,8,0.8,0.7,0.6666666666666666,0.6333333333333333,0.5000000000000001
11622377,2026-03-21 11:00:00,Frantisek Briza,Michal Vedmoch,0.6,0.6521739130434783,0.6521739130434783,10,23,23,0.4,1.0,0.6333333333333333,0.7333333333333333,0.7
11620547,2026-03-21 11:00:00,Milan Cetner,Miroslav Barta,0.7140000000000001,0.7140000000000001,0.7140000000000001,8,8,8,0.5,0.6,0.5666666666666667,0.6333333333333333,0.19999999999999996
11620460,2026-03-21 11:30:00,Jiri Grohsgott,Julius Didi,0.6,0.6666666666666666,0.6363636363636364,10,30,33,0.5,0.7,0.5333333333333333,0.7333333333333333,0.29999999999999993
11622389,2026-03-21 11:30:00,Milan Kolar,Jiri Dedek,0.6,0.5666666666666667,0.5625,10,30,32,0.5,0.7,0.6333333333333333,0.6,0.5
