match_id,date,player1,player2,h2h_L10_weighted,h2h_L30_weighted,h2h_L60_weighted,h2h_L10_count,h2h_L30_count,h2h_L60_count,recent_A_L10,recent_B_L10,recent_A_L30,recent_B_L30,match_balance_L10
11615345,2026-03-20 10:30:00,Michal Benes,Josef Braun,0.4,0.6190476190476191,0.6190476190476191,10,21,21,0.6,0.6,0.5666666666666667,0.6,0.3
11615144,2026-03-20 10:45:00,Artur Daniel,Adrian Spychala,0.6,0.6,0.5666666666666667,10,30,60,0.9,0.3,0.7333333333333333,0.5,0.6000000000000001
11615335,2026-03-20 10:50:00,Piotr Cyrnek,Antoni Witkowski,0.9,0.75,0.75,10,28,28,0.8,0.7,0.7666666666666667,0.6333333333333333,0.4
11614583,2026-03-20 11:05:00,Krystian Kolodziej,Mateusz Rutkowski,0.6,0.5333333333333333,0.5833333333333334,10,30,60,0.7,0.7,0.7,0.7666666666666667,0.19999999999999996
11614519,2026-03-20 11:10:00,Artur Kubiak,Miroslaw Lewczuk,0.6,0.6666666666666666,0.5909090909090909,10,30,44,0.5,0.8,0.5666666666666667,0.5666666666666667,0.5
11615665,2026-03-20 11:10:00,Amirreza Abbasi,Josef Braun,0.9,0.7,0.6875,10,30,32,0.7,0.6,0.7,0.6,0.19999999999999998
11614828,2026-03-20 11:25:00,Artur Sobel,Tomasz Pisarczyk,0.6183333333333334,0.6183333333333334,0.6183333333333334,5,5,5,0.8,0.9,0.8,0.8333333333333334,0.29999999999999993
11615081,2026-03-20 11:30:00,Jakub Kuzmicz,Kacper Szurlej,0.7,0.7,0.7,0,0,0,0.6,0.8,0.6333333333333333,0.7666666666666667,0.30000000000000004
11615675,2026-03-20 11:35:00,Adam Dosz,Michal Benes,0.9,0.76,0.76,10,25,25,0.7,0.6,0.7333333333333333,0.5666666666666667,0.09999999999999998
11616773,2026-03-20 12:00:00,Adrian Fabis,Blazej Warpas,0.6,0.7142857142857143,0.7142857142857143,10,14,14,0.7,0.6,0.7,0.6,0.29999999999999993
11614853,2026-03-20 12:00:00,Lukasz Pyda,Michal Krutak,0.7066666666666667,0.7066666666666667,0.7066666666666667,0,0,0,0.6,0.8,0.6333333333333333,0.8,0.5
11615080,2026-03-20 12:20:00,Krystian Kolodziej,Jakub Kuzmicz,0.6,0.6153846153846154,0.6153846153846154,10,13,13,0.7,0.6,0.7,0.6333333333333333,0.09999999999999998
11616468,2026-03-20 12:25:00,Dariusz Szlubowski,Kuba Golaszewski,0.8290000000000001,0.8290000000000001,0.8290000000000001,1,1,1,0.9,0.8,0.7666666666666667,0.7333333333333333,0.2
11616651,2026-03-20 12:40:00,Rafal Utylski,Mateusz Rutkowski,0.3,0.4166666666666667,0.4166666666666667,10,12,12,0.7,0.7,0.7333333333333333,0.7666666666666667,0.09999999999999998
