schedule_name,key,player_id,matched_by
Alex Michelsen,michelsena,atp_41,alias
Juan Manuel Cerundolo,jcerundolo,,alias_no_match
Juan Manuel Cerundolo,cerundoloj,,alias_no_match
Juan Manuel Cerundolo,juanmanuelcerundolo,,alias_no_match
Juan Manuel Cerundolo,jmcerundolo,,alias_no_match
Juan Manuel Cerundolo,manuelcerundoloj,,alias_no_match
Juan Manuel Cerundolo,cerundolo,,alias_no_match
Juan Manuel Cerundolo,manuelcerundolo,,alias_no_match
Juan Manuel Cerundolo,jcerundolo,atp_78,player_lookup
Botic Van De Zandschulp,vandezandschulp,,alias_no_match
Botic Van De Zandschulp,boticvandezandschulp,,alias_no_match
Botic Van De Zandschulp,bvdzandschulp,,alias_no_match
Botic Van De Zandschulp,bzandschulp,,alias_no_match
Botic Van De Zandschulp,zandschulpb,,alias_no_match
Botic Van De Zandschulp,zandschulp,,alias_no_match
Botic Van De Zandschulp,vandezandschulpb,atp_55,alias
Nuno Borges,borgesn,atp_44,alias
Emilio Nava,enava,,alias_no_match
Emilio Nava,navae,atp_76,alias
Alejandro Tabilo,atabilo,,alias_no_match
Alejandro Tabilo,tabilo,,alias_no_match
Alejandro Tabilo,alejandrotabilo,,alias_no_match
Alejandro Tabilo,tabiloa,atp_67,alias
Rafael Jodar,jodar,atp_117,alias
Francesco Maestrelli,francescomaestrelli,,alias_no_match
Francesco Maestrelli,fmaestrelli,,alias_no_match
Francesco Maestrelli,maestrelli,,alias_no_match
Francesco Maestrelli,maestrellif,atp_110,alias
Rinky Hijikata,rinkyhijikata,,alias_no_match
Rinky Hijikata,hijikatar,atp_112,alias
Matteo Arnaldi,matteoarnaldi,,alias_no_match
Matteo Arnaldi,marnaldi,,alias_no_match
Matteo Arnaldi,arnaldim,atp_85,alias
Mackenzie McDonald,mmcdonald,,alias_no_match
Mackenzie McDonald,mcdonald,,alias_no_match
Mackenzie McDonald,mcdonaldm,atp_115,alias
Sebastian Korda,skorda,,alias_no_match
Sebastian Korda,kordas,atp_49,alias
Francisco Comesana,fcomesana,atp_62,alias
