WTA,Location,Tournament,Date,Tier,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL,BFEW,BFEL
2,Brisbane,Brisbane International,1/6/2026,WTA500,Outdoor,Hard,2nd Round,3,Keys M.,Kessler M.,7,31,4335,1553,6,4,6,3,,,2,0,Completed,1.67,2.2,1.67,2.33,1.67,2.35,1.64,2.23,1.72,2.36
2,Brisbane,Brisbane International,1/6/2026,WTA500,Outdoor,Hard,2nd Round,3,Shnaider D.,Potapova A.,21,55,1866,1072,6,1,6,3,,,2,0,Completed,1.62,2.3,1.75,2.18,1.73,2.5,1.65,2.22,1.73,2.3
2,Brisbane,Brisbane International,1/6/2026,WTA500,Outdoor,Hard,2nd Round,3,Sabalenka A.,Bucsa C.,1,50,10490,1127,6,0,6,1,,,2,0,Completed,1.06,10,1.06,12.44,1.06,12.5,1.04,10.47,1.06,15.5
2,Brisbane,Brisbane International,1/6/2026,WTA500,Outdoor,Hard,2nd Round,3,Alexandrova E.,Kenin S.,10,28,3375,1589,7,6,6,3,,,2,0,Completed,1.3,3.5,1.36,3.38,1.33,3.5,1.33,3.31,1.38,3.5
2,Brisbane,Brisbane International,1/6/2026,WTA500,Outdoor,Hard,2nd Round,3,Cirstea S.,Ostapenko J.,41,23,1243,1800,6,2,7,6,,,2,0,Completed,1.4,3,1.41,3.11,1.44,3.25,1.39,2.95,1.41,3.3
2,Brisbane,Brisbane International,1/6/2026,WTA500,Outdoor,Hard,2nd Round,3,Muchova K.,Tomljanovic A.,20,78,1888,844,4,6,6,1,7,6,2,1,Completed,1.33,3.4,1.37,3.36,1.36,3.5,1.34,3.22,1.38,3.55
2,Brisbane,Brisbane International,1/6/2026,WTA500,Outdoor,Hard,2nd Round,3,Rybakina E.,Zhang S.,5,79,5850,843,6,3,7,5,,,2,0,Completed,1.1,7,1.11,8.14,1.11,7,1.1,6.78,1.11,9.4
2,Brisbane,Brisbane International,1/6/2026,WTA500,Outdoor,Hard,2nd Round,3,Badosa P.,Bouzkova M.,25,46,1675,1182,6,7,6,4,6,2,2,1,Completed,1.8,2,1.81,2.09,1.9,2.05,1.8,1.97,1.87,2.12
2,Brisbane,Brisbane International,1/7/2026,WTA500,Outdoor,Hard,2nd Round,3,Yastremska D.,Fernandez L.A.,27,22,1604,1821,6,1,6,2,,,2,0,Completed,2.63,1.5,2.7,1.52,2.65,1.52,2.56,1.5,2.78,1.55
2,Brisbane,Brisbane International,1/7/2026,WTA500,Outdoor,Hard,2nd Round,3,Pegula J.,Kalinskaya A.,6,33,5583,1461,6,2,2,6,6,4,2,1,Completed,1.53,2.5,1.54,2.63,1.6,2.6,1.51,2.51,1.57,2.72
2,Brisbane,Brisbane International,1/7/2026,WTA500,Outdoor,Hard,2nd Round,3,Sasnovich A.,Tauson C.,113,14,672,2530,6,2,6,3,,,2,0,Completed,2.5,1.53,2.61,1.55,2.55,1.84,2.41,1.56,2.72,1.57
